target	assay	ctcf_retained	ctcf_lost	rad21_retained	rad21_lost	atac_gained	atac_lost	n_experiments	factor_class
ZNF214	TF ChIP-seq	0.671674129712552	0.360460795243404	0.665715644317642	0.472198130480871	1.6750418760469	1.23330385814679	1	TF
ZNF221	TF ChIP-seq	3.67615195724397	1.14083983649201	4.56490727532097	2.39953743856606	6.19765494137353	2.28975659701215	1	TF
ZNF223	TF ChIP-seq	6.03062256247292	2.22965440356745	5.99144079885877	4.33651344319167	14.9078726968174	4.93321543258715	1	TF
ZNF23	TF ChIP-seq	1.19167990755453	0.490523968784838	1.33143128863528	0.674568757829816	4.52261306532663	1.16349420579886	1	TF
ZNF239	TF ChIP-seq	6.15340170446338	2.19620958751394	7.70328102710414	4.05704924351932	14.2378559463987	4.08153767394238	1	TF
ZNF24	TF ChIP-seq	25.7547306081179	10.6837606837607	28.4355682358535	21.2585525681796	36.8509212730318	16.1446455996649	1	TF
ZNF248	TF ChIP-seq	0.917232413693486	0.263842437755481	1.09367570137898	0.520381613183001	2.34505862646566	1.47996462977614	1	TF
ZNF26	TF ChIP-seq	0.361115123501372	0.167224080267559	0.713266761768902	0.173460537727667	2.34505862646566	1.32638339461069	1	TF
ZNF263	TF ChIP-seq	36.1476238624874	17.3764399851356	27.1041369472183	31.8396453695673	54.2713567839196	26.839484339368	1	TF
ZNF266	TF ChIP-seq	1.92835475949733	0.798959494611669	2.18735140275796	1.11785679868941	8.04020100502512	3.30432354446875	1	TF
ZNF274	TF ChIP-seq	0.613895709952333	0.20066889632107	0.808368996671422	0.240917413510649	4.85762144053601	1.21003397403081	1	TF
ZNF280C	TF ChIP-seq	0.570561895132168	0.248978075065032	0.285306704707561	0.327647682374482	2.68006700167504	0.926141387815889	1	TF
ZNF280D	TF ChIP-seq	8.57287303192258	3.19955406911929	8.27389443651926	6.00366194468536	16.2479061976549	7.35328338064876	1	TF
ZNF292	TF ChIP-seq	0.527228080312004	0.185804533630621	1.09367570137898	0.212007323889371	3.18257956448911	1.18211011309164	1	TF
ZNF302	TF ChIP-seq	1.66112956810631	0.75436640654032	2.04469805040418	1.28168063987665	3.51758793969849	1.28449760320194	1	TF
ZNF311	TF ChIP-seq	0.570561895132168	0.263842437755481	0.713266761768902	0.289100896212778	3.85259631490787	1.24261181179318	1	TF
ZNF324	TF ChIP-seq	27.5241947132746	10.5425492382014	30.4802662862577	22.4053194564903	35.8458961474037	14.0782798901661	1	TF
ZNF335	TF ChIP-seq	53.0839231547017	26.0386473429952	55.6823585354256	44.6564517683338	71.8592964824121	32.2380974542747	1	TF
ZNF34	TF ChIP-seq	1.45890509894554	0.995912300260126	1.71184022824536	1.19495037101282	5.0251256281407	5.09145064457579	1	TF
ZNF341	TF ChIP-seq	34.7031633684819	15.8900037160907	41.6547788873038	28.0813337188012	60.4690117252931	22.1156978638246	1	TF
ZNF350	TF ChIP-seq	1.61779575328615	0.772946859903382	1.94959581550166	1.11785679868941	2.34505862646566	1.92209242797971	1	TF
ZNF354C	TF ChIP-seq	0.548894987722086	0.21553325901152	0.855920114122682	0.346921075455334	1.6750418760469	0.940103318285475	1	TF
ZNF362	TF ChIP-seq	10.4940054889499	6.88219992567819	7.18021873514028	8.53811313481738	26.1306532663317	16.4099222785871	1	TF
ZNF366	TF ChIP-seq	26.30362559584	13.4188034188034	27.5796481217309	22.3185891876265	47.571189279732	27.7283939125983	1	TF
ZNF37A	TF ChIP-seq	3.12725696952188	1.14827201783724	3.32857822158821	2.10079984581286	5.52763819095477	2.30371852748173	1	TF
ZNF384	TF ChIP-seq	6.49284992055467	6.55146785581568	3.09082263433191	5.39655006263853	17.2529313232831	14.0782798901661	1	TF
ZNF391	TF ChIP-seq	26.0725119167991	8.72909698996656	26.7237280076082	20.5839838103498	34.5058626465662	13.5663424396147	1	TF
ZNF394	TF ChIP-seq	31.5542394915499	13.422519509476	33.4284355682359	26.6358292377373	45.7286432160804	21.2360962442407	1	TF
ZNF398	TF ChIP-seq	24.4908276758631	10.9513192121888	27.4369947693771	18.6373711091838	48.9112227805695	17.3872574114581	1	TF
ZNF404	TF ChIP-seq	1.0255669507439	0.43106651802304	1.37898240608654	0.587838488965982	3.51758793969849	1.63354586494159	1	TF
ZNF416	TF ChIP-seq	1.51668351870576	0.490523968784838	1.85449358059914	0.886576081719187	4.69011725293132	1.22864988132359	1	TF
ZNF423	TF ChIP-seq	15.1740574895277	6.35079895949461	15.0261531145982	11.2652982557579	28.1407035175879	9.47549681202588	1	TF
ZNF426	TF ChIP-seq	0.585006500072223	0.271274619100706	0.570613409415121	0.337284378914908	2.68006700167504	3.44859682598781	1	TF
ZNF433	TF ChIP-seq	0.671674129712552	0.301003344481605	0.523062291963861	0.250554110051074	3.3500837520938	1.98724810350444	1	TF
ZNF449	TF ChIP-seq	21.1685685396504	8.82199925678187	23.6804564907275	17.0473161800135	37.5209380234506	14.7577605063527	1	TF
ZNF473	TF ChIP-seq	0.888343203813376	0.312151616499443	1.28388017118402	0.443288040859593	3.85259631490787	1.41015497742821	1	TF
ZNF48	TF ChIP-seq	0.180557561750686	0.0854700854700855	0.665715644317642	0.183097234268093	1.84254606365159	0.316470423977289	1	TF
ZNF488	TF ChIP-seq	2.13780153112812	1.27833519137867	2.56776034236805	1.85024573576178	6.53266331658291	2.49453157723275	1	TF
ZNF501	TF ChIP-seq	35.0787230969233	14.7380156075808	37.2325249643367	29.9701262407247	39.6984924623116	18.2482431237492	1	TF
